vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Alísios Moscatel,44.9,moscatel somente variedade uva sim grande família tipos castas variam brancas tintas possuem sempre aroma doçura extremamente típicos elaborado vale francisco bahia familiar tradicional vinícola miolo espumante linha alísios grande oportunidade provar melhor brasil pode oferecer diz respeito universo vitivinicultor alísios vinho espumante sobremesa pode usado aperitivo,moscatel,brasil,vale do são francisco,espumante branco,miolo wine group,75.0,9.0,fresco típico notas jasmim outras flores brancas guaraná cítricos mel,reflexos esverdeados,leve persistente doce paladar final boca jovial refrescante,salada frutas merengue torta limão sorvete frutas cítricas
Travessia Rosé,34.95,feito uvas típicas portugal travessia rosé produzido objetivo homenagear diversas travessias marítimas feitas portugueses durante séculos degustar rótulo bastante frutado fresco tanto olfato quanto paladar escolha ideal harmonizar comidas origem asiática carnes brancas,várias uvas,portugal,multirregional,rosé,jaws,11.5,10.0,aroma fresco frutas vermelhas morango notas florais,rosa claro brilhante,equilibrado macio refrescante,carnes brancas massas pizzas leves comida asiática
Rawen Cabernet Sauvignon-Syrah Estate Bottled 2020 ,29.9,fruto árduo trabalho família ravanal rawen apresenta blend uvas cabernet sauvignon syrah combinando aromas frutas vermelhas cereja morango bem notas especiarias taninos marcantes além nuances amoras boca tinto perfeito apreciar jantar amigos,várias uvas,chile,valle central,tinto,viña ravanal,12.5,16.0,frutas vermelhas cereja morango notas especiarias,vermelho profundo,taninos marcantes notas amoras,carnes vermelhas grelhadas carnes caça assadas tábua queijos
Guanaco West Cabernet Sauvignon 2019,32.9,palavras produtor guanaco west nasceu uvas selvagens corajosas rebeldes ousaram mesmas desafiando tudo sabia agora porque vinhos provenientes deserto mendocino onde clima continental bem evidente aporta castas características ideais originar exemplares cabernet sauvignon boa complexidade taninos macios acidez equilibrada nuances frutas vermelhas boca expressa aromas pimentão verde especiarias tabaco baunilha oriundos passagem meses barricas carvalho,cabernet sauvignon,argentina,mendoza,tinto,casa la primavera,13.3,17.0,notas pimentão verde especiarias tabaco baunilha,intenso reflexos violáceos,boa complexidade taninos macios acidez equilibrada nuances frutas vermelhas final agradável,choripán pizza fugazzeta costelas porco molho chili
Condor Peak Red Semi Dry 2020,27.9,relevante região vinícola argentina mendoza palco produção grande variedade vinhos desde rótulos renomados exemplares ideais dia dia condor peak aromas frutas vermelhas pretas harmonioso fácil beber mostrando pedida ideal acompanhar noite pizza almoço domingo,várias uvas,argentina,mendoza,tinto,grupo peñaflor,12.5,16.0,aromas frutas pretas vermelhas,,frutado harmonioso fácil beber,carnes vermelhas massas molhos queijos maduros
Marchesi del Salento Pinot Grigio Blush Terre Siciliane IGT 2020,49.9,seleção marchesi del salento elaborada centenária vinícola castellani sob filosofia cultivar uvas fazer vinhos arte versão pinot grigio blush convida degustar verdadeira líquido equilibrado delicado frutado encantadoras notas pêssegos morangos frescos,pinot grigio,itália,sicília,rosé,castellani,12.0,6.0,notas pêssego frutas vermelhas frescas,rosa salmão límpido brilhante,equilibrado refrescante macio frutado,salmão grelhado sopa frutos mar yakisoba
Exemplo Douro DOC 2019,54.9,banhada rio douro emblemática região homônima deu origem exemplo tinto feito partir corte tradicionais uvas portuguesas touriga franca touriga nacional tinta roriz tinta barroca conferem vinho riqueza sabores acidez equilibrada modelo clássico douro tinto vivo frutado aromático excelente oportunidade conhecer imenso potencial castas nativas,touriga franca tinta roriz tinta barroca touriga nacional,portugal,douro,tinto,caves santa martha,13.0,17.0,notas especiarias frutas vermelhas,vivo,bom frescor maciez acidez equilibrada,queijos curados carnes vermelhas caça
Ridal Rosado,36.9,ridal rosado típico vinho europeu conquista desde rótulo desenhado aromas marcantes frutas vermelhas sabor refrescante equilibrado dúvidas vinho companhia perfeita pra bela salada pratos base peixes frutos mar,várias uvas,frança,multirregional,rosé,castel,11.0,9.0,notas intensas frutas vermelhas maduras toques florais,rosa salmão brilhante,frutado refrescante versátil acidez equilibrada final longo,saladas aperitivos canapés carnes brancas
Cellier des Dauphins Prestige Méditerranée IGP,54.9,criar vinhos solares compartilhar grandes momentos lema objetivo vinícola cellier des dauphins promete refletir cada rótulo riqueza terroirs diversidade castas ali cuidadosamente cultivadas neste prestige méditerranée grenache syrah cinsault colhidas sul frança deram vida goles frutados florais notas frutas vermelhas agradável frescor degustação ainda saborosa experimente harmonização peixe grelhado,grenache syrah cinsault,frança,vale do rhône,rosé,cellier des dauphins,12.5,8.0,notas florais frutas vermelhas,delicado tom rosado,fresco leve frutado,melão presunto cru ratatouille salmão grelhado
Château Tarin Bordeaux AOC 2018,89.9,elaborado base uvas merlot cabernet sauvignon cabernet franc cultivadas ricos renomados terroirs bordeaux château tarin traz taça equilíbrio agradável taninos acidez aromas intensos frutas vermelhas cereja resultado vinho conquistou pontos crítica especializada decante tinto duas horas antes degustação desfrutar todos aromas sabores,merlot cabernet sauvignon cabernet franc,frança,bordeaux,tinto,maison castel,13.5,15.0,aroma frutas vermelhas cereja,,tinto frutado taninos acidez equilibrados,carnes vermelhas grelhadas
Domaine de La Motte Cabernet Sauvignon 2019,54.9,tradição vitivinícola remonta anos território palco cultivo vinhas cabernet sauvignon deram origem versão domaine la motte degustar tinto redondo corpo médio aromas intensos frutas vermelhas maduras,cabernet sauvignon,frança,languedocroussillon,tinto,vignobles bonfils,13.0,16.0,frutas vermelhas maduras especiarias,intenso,redondo macio longo final,fraldinha assada ervas boeuf bourguignon queijos variados
CataRegia Reserva-Syrah Terra Alta D.O. 2017,49.9,equipe vinícola reserva la tierra vinhas adegas vinhos nada sonhos realizados toa enólogos companhia produzem cada rótulo muita paixão esforço dedicação versão reserva cataregia exemplo disso elaborado uvas syrah cultivadas denominação origem terra alta espanha elegante potente boca apresenta leque aromático complexo notas compota frutas vermelhas especiarias toques tostados adquiridos após passagem meses barricas carvalho,syrah,espanha,terra alta,tinto,reserva de la tierra,13.0,18.0,expressivo notas compota frutas vermelhas nuances especiarias toques tostados,reflexos granada,elegante potente corpo cheio frutado,fondue carne espaguete ragu linguiça queijo gouda
Finca Patagonia Expedicion Single Vineyard Selection Sauvignon Blanc Central Valley D.O. 2022,39.9,privilegiado terroir chile faz país grandes produtores vinícolas américa latina expedicion sauvignon blanc vinho frutado harmonioso refrescante aqui lembrar porquê vinhos chilenos conquistarem cada vez brasileiros,sauvignon blanc,chile,valle central,branco,finca patagonia,12.5,8.0,frutas cítricas abacaxi limão siciliano,,fresco harmonioso frutado boa acidez,saladas peixes frutos mar
Villa del Nevado Red Blend 2021,27.9,villa del nevado vinho argentino traz uvas cultivadas mendoza principal região vitivinícola país mostrando pedida ideal aprecia aromas frutas frescas traz boca taninos redondos suculentos,várias uvas,argentina,mendoza,tinto,fecovita,12.2,15.0,notas intensas frutas frescas,brilhante,saboroso frutado tainos redondos suculentos,carnes vermelhas grelhadas pizzas variadas massas bolonhesa
Reyna Cabernet Sauvignon Central Valley D.O. 2020,39.9,reyna rainha espanhol vinho protagonizado cabernet sauvignon considerada imperatriz uvas tintas aqui aparece versão cultivada solos chilenos valle central responsável originar líquido encorpado macio elegante extremamente aromático exala notas figo maduro azeitona pimenta hora harmonizar opte pratos base carnes vermelhas massas,cabernet sauvignon,chile,valle central,tinto,bodegas tagua tagua,12.5,16.0,notas intensas figos maduros azeitonas toques pimenta,intenso,encorpado macio elegante,maminha brasa costela assada ravioli carne molho tomate
Mosia de la Tohani (Red Horses) Feteasca Alba  2019,49.9,pedida perfeita deseja aumentar repertório países explorados degustação bons vinhos elaborado dealu mare denominações origem conceituadas romênia mosia la tohani entrega uva nativa país chamada feteasca alba cujo nome significa donzela branca considerada antigas populares castas região origina líquidos redondos equilibrados saborosos combinam bem massas molho branco saladas tal almoço família,várias uvas,romênia,dealu mare,branco,domaine tohani,13.0,9.0,notas intensas frutas cítricas toques maçã verde flores,brilhante reflexos esverdeados,redondo equilibrado frutado saboroso toques cítricos final longo,culinária japonesa massas molho branco saladas carnes brancas
Santa Marta Gran Reserva Cabernet Sauvignon Colchagua Valley D.O. 2019,59.9,chile ganhou grande destaque mundo vinhos graças terroirs propícios produção vinhos qualidade admirável santa marta produzido partir uvas cabernet sauvignon cultivadas denominação origem valle colchagua santa marta gran reserva presenteia aromas frutas vermelhas maduras notas especiarias baunilha tabaco paladar mostra equilibrado acidez média taninos poderosos adquiridos após estágio meses barricas carvalho francês,cabernet sauvignon,chile,valle de colchagua,tinto,marchigue,13.5,14.0,expressivo frutado notas frutas maduras especiarias,brilhante tons granada,equilibrado acidez média taninos poderosos final longo persistente,carne vermelha carnes caça massas molho vermelho
Concha y Toro Exportacion Selecto Carménère 2021,54.9,concha y toro vinícolas renomadas chile reconhecida revista wine spirits sendo melhores ano tamanho reconhecimento poderia consequência elaboração grandes vinhos exportacion traz uva ícone país goles equilibrados macios,carménère,chile,valle central,tinto,concha y toro,12.5,17.0,toques herbáceos especiarias frutas silvestres,brilhante,corpo médio persistente taninos macios final herbáceo,pizzas variadas carnes defumadas
Santa Alicia Carménère Valle Central 2020,32.9,uvas carménère cultivadas valle central deram vida santa alicia ícone chile casta gerou exemplar aroma frutas vermelhas maduras paladar frutado corpo médio taninos macios,carménère,chile,valle central,tinto,viña santa alicia,13.0,15.0,aroma frutas vermelhas maduras,intenso,agradável corpo médio taninos macios,carnes vermelhas grelhadas massas queijos amarelos
Punta Negra Wines of Belhara Malbec 2020,44.9,tradição nome sobrenome punta negra elaborado solos valle uco mendoza malbec potente taninos marcados equilibrados hora harmonizar clássico pedida certa carnes vermelhas brasa devido alteração lote teor alcoólico pode variar,malbec,argentina,mendoza,tinto,belhara estate,14.0,17.0,frutas maduras geleia framboesa ameixa,profundo,encorpado taninos marcados final longo,churrasco queijos amarelos
Ziobaffa Pinot Grigio Terre Siciliane IGT 2021,69.9,chegou safra nova best seller ziobaffa história pra lá interessante além orgânico vegano tributo surf viagens família claro vinho legal fruto amizade enólogo piergiorgio castellani cineasta jason baffa surfista chris del moro apaixonados atmosfera romântica paradisíaca itália decidiram criar vinho cara verão,pinot grigio,itália,sicília,branco,castellani,12.0,9.0,frutas cítricas limão abacaxi,brilhante,corpo leve equilibrado refrescante final longo,queijos leves aperitivos
La Vigne du Roy Plan de Dieu Côtes du Rhône Villages AOC 2019,79.9,vale rhône regiões vinícolas importantes sudeste frança conhecido abrigar apelações consagradas mundo afora côtes du rhône villages rígidos padrões produção território deu vida la vigne du roy vinha rei português tinto faz jus nome harmonioso equilibrado estruturado entrega aromas intensos frutas pretas nuances herbáceas momento harmonizar sugestão apostar pratos típicos culinária francesa,grenache syrah mourvèdre,frança,vale do rhône,tinto,vignobles & compagnie,14.5,18.0,intenso notas frutas pretas especiarias nuances herbáceas amadeiradas,profundo reflexos violáceos,harmonioso equilibrado estruturado taninos notáveis,polpetone sugo pernil cordeiro assado ervas alho entrecôte purê mandioquinha
El Taller Tannat 2020,39.9,estrela sudoeste francês tannat faz morada vinhedos uruguai considerada país novo mundo revela taninos redondos sabor marcante frutas falando pedida ideal conhecer região canelones ótimo vinho possa demonstrar ainda potencial recomendo almoço família filé mignon assado molho madeira,tannat,uruguai,canelones,tinto,aurora uruguai,12.5,17.0,notas intensas frutas pretas maduras toque sutil especiarias,intenso reflexos violáceos,frutado estruturado taninos redondos final longo,tábua queijos maduros filé mignon assado molho madeira pimentão amarelo recheado carne moída
Baron Des Fontenilles Bordeaux 2019,54.9,bordeaux maior denominação origem frança tanto valor quanto volume clássico mundo vinho baron des fontenilles elaborado duas uvas emblemáticas região merlot cabernet sauvignon complementam originam rótulo macio equilibrado definitivamente vai surpreender exemplar gostoso fácil beber,merlot cabernet sauvignon,frança,bordeaux,tinto,gineset,13.0,17.0,ameixa cereja mirtilo nuances charuto doce,rubi profundo,corpo médio taninos macios acidez média,tábua frios hambúrguer pizzas variadas
Bodegas Staphyle Silenio Malbec 2021,34.9,segundo ricardo minuzzi enólogos vinícola bodega staphyle cada vinhos excepcionalmente único visto concebidos processo artesanal cuidadoso sob filosofia silenio malbec elaborado macio agradável extremamente aromático tinto oferece personalidade terroir mendocino mostra ideal acompanhar pratos base carnes vermelhas,malbec,argentina,mendoza,tinto,bodegas staphyle,13.5,16.0,aromas frutas vermelhas frescas cerejas framboesas leves notas florais,brilhante nuances violetas,envolvente harmonioso taninos macios,carnes vermelhas grelhadas massas sugo queijos amarelos
The Drover Shiraz 2020,54.9,poucas décadas austrália tornou maiores produtores vinhos mundo sucesso deve principalmente exemplares elaborados uva shiraz casta adapta bem clima quente seco país nesta versão the drover originou líquido frutado toque especiarias final macio maduro redondo,syrah,austrália,riverina,tinto,dee vine estate,13.5,17.0,aromas ameixa groselha preta especiarias,carmesim brilhante,corpo médio macio final agradável,picanha ponto mal passada costelinha suína molho barbecue queijo ovelha
Vieux Papes Blanc Medium Sweet Suave,34.9,versão suave famoso best seller vieux papes blanc assim outros exemplares linha medium sweet vinho saboroso surpreende encanta início fim degustação assinado maiores grupos produtores frança rótulo frutado refrescante acidez equilibrada doçura marcante além aromas frutas cítricas tropicais grande dica dia dia harmonizando queijo gorgonzola pudim,várias uvas,europeu,multirregional,branco,grupo castel,11.0,9.0,notas intensas frutas cítricas tropicais toques flores brancas,reflexos esverdeados,frutado saboroso refrescante acidez equilibrada doçura marcante,queijo gorgonzola pudim creme papaia
Expedicion Single Vineyard Selection Syrah Rosé Central Valley D.O. 2021,39.9,syrah rosé assinado finca patagonia vinícola localizada valle central cercada cordilheira andes deserto atacama oceano pacífico condições climáticas deste terroir possibilitam ambiente perfeito cultivo uvas variadas resulta rótulos saboroso acidez equilibrada aromático notas frutas vermelhas deixar momento degustação ainda gostoso recomendação fettuccine molho camarão,syrah,chile,valle central,rosé,finca patagonia,13.0,9.0,framboesa cereja toques hortelã,rosa salmão brilhante,poderoso acidez equilibrada notas frutas vermelhas,fetuccini molho camarão carnes brancas risotos saladas aperitivos
Santa Alicia Reserva Chardonnay Estate Bottled Valle del Maipo 2020,49.9,santa alicia reserva criado partir uvas chardonnay cultivadas valle central resultado líquido aroma coco abacaxi nuances baunilha paladar frutado rico refrescante pedida ideal harmonizar peixes carnes brancas frutos mar,chardonnay,chile,valle central,branco,viña santa alicia,13.5,10.0,aroma frutas abacaxi coco notas baunilha,,frutado rico refrescante,peixes carnes brancas queijos massa mole
Famiglia Castellani Rosso Toscano IGT 2016,74.9,famiglia castellani rosso toscano fruto trabalho cinco gerações família empenhada fazer alguns melhores vinhos toscana toda itália sangiovese uva grandes chiantis clássicos brunellos principal protagonista deste tinto gastronômico fácil beber,sangiovese canaiolo ciliegiolo,itália,toscana,tinto,castellani,12.5,16.0,frutas silvestres ameixa morango toques violeta,reflexos granada,encorpado macio harmonioso taninos aveludados bastante sabor frutas,massas molho sugo lasanha bolonhesa
Patas Cabernet Sauvignon 2021,39.9,patas criada homenagear promover histórias carinho respeito pessoas bichanos cabernet sauvignon estimula partilhar destes princípios meio goles aveludados persistentes notas frutas vermelhas especiarias pimenta cada garrafa vendida r doados ong ampara animal maior organização proteção animal brasil ajuda mudar realidade cães gatos têm família chamar,cabernet sauvignon,argentina,mendoza,tinto,fecovita,12.5,17.0,aromas frutas vermelhas especiarias pimenta,brilhante,equilibrado taninos adocicados persistentes,queijo parmesão risoto cogumelos nhoque sugo
McGuigan The Plan Cabernet Sauvignon 2017,54.9,plano deu origem seleção vinhos nasceu idealizado família mcguigan maestria objetivo produzir artesanalmente rótulos vibrantes excepcionais expressem melhor viticultura australiana nasceu othe plan cabernet sauvignon exemplar paladar rico encorpado taninos maduros hora harmonizar aposte pratos intenso maminha assada batatas noque bolonhesa,cabernet sauvignon,austrália,south eastern,tinto,mcguigan,13.0,15.0,aroma intenso cereja amora groselha preta cacau,intenso,encorpado nuances frutas vermelhas pretas taninos aderentes,carnes vermelhas massa recheadas molhos intensos queijos maduros
Castilla Real Tempranillo Crianza La Mancha D.O. 2019,44.9,la mancha maior região vinícola delimitada toda europa local escolhido vinícola castilla dar vida versão tempranillo castilla real legítimo crianza vinho amadureceu barricas carvalho mínimo meses apresenta corpo médio equilibrado macio taninos sedosos final longo boca exala nariz aromas intensos cereja framboesa morango além nuances alcaçuz ervas frescas coco baunilha degustação moldes espanhóis dica tradicional paella valenciana,tempranillo,espanha,la mancha,tinto,vinícola de castilla,13.5,18.0,intenso notas frutas vermelhas frescas cereja framboesa morango nuances alcaçuz ervas frescas coco baunilha,brilhante leves reflexos granada,corpo médio equilibrado frutado macio taninos sedosos final longo,paella valenciana costela suína molho barbecue fondue queijo
Goulart Rosé Malbec Luján de Cuyo DOC 2020,59.9,produzido região luján cuyo célebre mendoza goulart rosé vinho elaborado enóloga brasileira erika goulart vinhedos centenários coleção vinhos aclamados mundo afora bodega goulart possui trajetória iniciou durante revolução brasil marechal gastão goulart avô erika exilado argentina adquiriu vinhedos hoje dão vida grandes sucessos vinícola degustar todo frescor sabor fruta produção cuidadosa orgânica coleciona histórias contar capaz oferecer,malbec,argentina,mendoza,rosé,bodega goulart,13.2,9.0,elegante combinação frutas vermelhas frescas notas florais,rosa cereja brilhante delicadamente lilás,refrescante delicado saboroso frutado,saladas peixes sushi carnes brancas
Colombelle Merlot-Tannat Côtes de Gascogne IGP 2019,54.9,logo sul bordeaux sudoeste frança região clima quente ideal bom amadurecimento uvas colheitas noturnas permitem preservar frescor potencial aromático castas colombelle mescla merlot trazendo maciez aromas frutas negras tannat aporta taninos acidez rótulo equilibrado notas ameixa mirtilo amoras pretas fácil beber,merlot tannat,frança,côtes de gascogne,tinto,plaimont,13.0,15.5,ameixa mirtilo amoras pretas,rubi profundo tons violáceos,taninos macios acidez equilibrada corpo médio final frutado,carne panela desfiada pizza calabresa tábua frios
Louis Lafon Blanc,34.9,versão louis lafon pedida perfeita conhecer potencial vitivinicultura francesa produção vinhos brancos refrescante saboroso gastronômico exala aromas intensos frutas cítricas toques florais dica apostar pratos base frutos mar carnes brancas momento harmonização,várias uvas,frança,multirregional,branco,castel,11.0,9.0,intenso notas frutas cítricas toques florais,intenso reflexos dourados,refrescante frutado saboroso,carnes brancas peixes frutos mar aperitivos queijos leves
Famiglia Castellani Chianti Riserva DOCG 2016,89.9,chianti belas regiões toscana além claro sinônimo renome mundo inteiro vinhos famosos itália chianti hoje carrega nome célebres vinícolas italianas castellani anos tradição ramo vitivinícola produziu chianti riserva potente equilibrado,sangiovese canaiolo cabernet sauvignon,itália,toscana,tinto,castellani,12.5,17.0,ameixas maduras couro toques chocolate violeta pimenta preta final prova,,encorpado taninos integrados acidez média final persistente,lasanha bolonhesa carnes caça
La Grupa Gran Selección Malbec 2022,39.9,clima único mendoza perfeito cultivo uva malbec produzida região casta origina vinhos ricos pigmentos taninos aveludados la grupa gran selección caráter marcante tinto apresenta taninos aveludados toques especiarias boca aromas frutas maduras ameixa toques pimenta nariz,malbec,argentina,mendoza,tinto,fecovita,12.5,16.0,frutas maduras ameixa toques pimenta,profundo,marcante taninos aveludados toques especiarias,hambúrguer berinjela recheada empanada cogumelos
Castillo de Madax Mediterranean Blend Jumilla DOP 2021,34.9,criada denominação origem protegida jumilla costuma originar vinhos frutados cheios vida castillo madax tinto apresentando aromas frutas vermelhas pretas maduras nariz mostra bem estruturado fresco harmonioso boca hora harmonizar aposte carnes vermelhas massas ragu queijos amarelos,monastrell tempranillo garnacha,espanha,jumilla,tinto,bodegas luzón,13.5,17.0,aromas frutas vermelhas negras maduras,intenso nuances granada,estruturado fresco frutado equilíbrio taninos acidez,talharim ragu linguiça pimentão recheado queijo gouda
M De Murviedro Sauvignon Blanc Valencia DOP 2019,37.9,desde bodegas murviedro trabalha afinco compartilhar mundo expressões qualidade viticultura espanhola neste exemplar vinícola escolheu uvas sauvignon blanc colhidas solos valência protagonistas fresco elegante m murviedro sauvignon blanc apresenta aromas frutas tropicais cítricas,sauvignon blanc,espanha,valência,branco,bodegas murviedro,11.5,6.0,aromas intensos frutas tropicais cítricas,amarelo pálido reflexos esverdeados,fresco frutado elegante acidez equilibrada,risoto camarão burrata molho pesto tomates confit ceviche tilápia
Gran Anciano Oak Matured Tempranillo Valdepeñas DOP 2019,89.9,próprio nome anuncia gran anciano grande vinho nele concentradas admiráveis tradicionais características família anciano maturidade harmonia apreciar goles estruturados complexos redondos macios amplo leque aromático traz notas caramelo baunilha amora pimenta,tempranillo,espanha,valdepeñas,tinto,guy anderson wines,13.0,16.0,cereja frutos silvestres baunilha notas picantes,profundo,macio taninos suaves boa estrutura longo final,paella cozido portuguesa sanduíche pernil
Viñapeña Tempranillo ,34.9,viñapeña tempranillo todo mundo ama fácil beber gostar ainda harmonizar feito vinícola garcia carrión ícone espanha par perfeito pra noite petiscos fim semana,tempranillo,espanha,multirregional,tinto,j. garcía carrión,12.0,17.0,frutas negras ameixa amora,translúcido,frutado equilibrado fácil beber,pizzas variadas tábua embutidos
Viña de Los Andes Rosé 2022,36.9,características únicas andes deram expressões ímpares castas lá plantadas exemplo disso versão rosé viña los andes vinho caráter agradável exala notas intensas frutas vermelhas nariz frescor delicadeza boca,várias uvas,argentina,mendoza,rosé,fecovita,11.0,8.0,aromas frescos notas intensas frutas vermelhas,rosa cereja translúcido,agradável delicado,pizza margherita tartare salmão salada caprese
Ego de Bacco Merlot 2020,34.9,parte gama vinhos espontâneos vinícola ipsa trading ego bacco merlot entrega autêntica bebida deuses expressivo fresco bem estruturado aromas intensos frutos silvestres reverencia tradição milenar vitivinicultura pronto ocupar lugar especial adega,merlot,espanha,multirregional,tinto,ipsa trading,12.0,17.0,aromas intensos frutos silvestres,vermelho profundo reflexos violáceos,expressivo fresco bem estruturado,queijo gouda guisado carne risoto funghi
Fantasia Bianco Amabile Lambrusco Dell'Emilia IGT,34.9,fantasia lambrusco convida embarcar aventura castelos vilas medievais vinhas região vinícola cheia histórias bons vinhos lá colhidas uvas lambrusco deram vida frisante fresco delicado levemente adocicado pronto apreciado piquenique parque tarde amigos,lambrusco,itália,emiliaromagna,frisante branco,vinicola decordi,78.0,8.0,aroma frutado notas cítricas maçã florais,claro,fresco levemente adocicado acidez marcante borbulhas delicadas,carnes brancas molho agridoce queijos leves sobremesas fruta
Vieux Papes Rosé,44.9,versão rosé best seller vieux papes acabou chegar elaborado maiores grupos produtores frança rótulo aromático presenteia corpo leve delicioso frescor vale pena saladas aperitivos variados,várias uvas,frança,multirregional,rosé,castel,11.0,16.0,frutas vermelhas cereja morango,rosa nuances ameixa,corpo leve refrescante agradável,saladas aperitivos
Maison Castel Cuvée Blanche Ice Limited Edition,74.9,feito maior produtora vinhos frança maison castel cuvée blanche ice proposta simples deixado geladeira algumas horas servido acompanhado umas pedrinhas gelo taça resultado espumante refrescante saboroso perfeito festas,várias uvas,frança,multirregional,espumante branco,castel,11.0,8.0,maçã frutas cítricas limão abacaxi,borbulhas persistentes,corpo leve boa acidez final levemente adocicado,queijos cremosos frutos mar
Miolo Alísios Brut Rosé,44.9,toque renomada miolo sob supervisão master of wine simon nash nasceu espumante alísios veio solos áridos vale francisco nordeste clima quente seco região ideal cultivo vinhas gerando frutos concentrados responsável caráter fresco delicado conheça região surpreendente goles aromáticos deste espumante,grenache,brasil,vale do são francisco,espumante rosé,miolo wine group,12.0,9.0,frutas vermelhas frescas cereja morango,,equilibrado delicado refrescante,peixes assados grelhados saladas
El Molino Estate Bottled Malbec 2021,39.9,apesar ter origens terras francesas solos argentinos malbec criou faceta sedutora envolvente hoje encanta paladares brasileiros el molino tudo espera dessa uva muita fruta taninos arredondados aromas persistentes,malbec,argentina,mendoza,tinto,grupo peñaflor,12.5,16.0,frutas maduras ameixa cereja,,macio taninos redondos final longo,churrasco lasanha bolonhesa
La Grupa Selección Rosé 2022,34.9,vinho todas horas assim la grupa elaborado mendoza região ícone argentina rosé doce fresco super fácil agradar erro dia dia,várias uvas,argentina,mendoza,rosé,fecovita,11.0,8.0,frutas vermelhas notas florais cítricas,rosa pálido reflexos brilhantes,doce fresco macio boa acidez,saladas aperitivos pipoca
Domaine de La Motte Pinot Noir 2020,69.9,mil garrafas domaine la motte pinot noir vendidas aqui evino sucesso toa toda finesse proporcionada personalidade peculiar pinot noir vinho encanta toques frutados macios equilibrados acompanham aromas frutas vermelhas frescas,pinot noir,frança,languedocroussillon,tinto,vignobles bonfils,12.5,16.0,frutas vermelhas frescas morango cereja,,toques frutados macios equilibrados,lasanha shitake shimeji ratatouille queijo cabr
Expedicion Single Vineyard Selection Cabernet Sauvignon Central Valley D.O. 2021,39.9,produzida vinícola finca patagonia seleção vinhos expedicion single vineyard selection homenageia trajetória antoine dominique bordes navegante veio bordeaux frança descobrir nobres castas cultivadas chile meio goles elegantes taninos firmes leque aromático varia frutas vermelhas café baunilha cassis versão cabernet sauvignon retrata história personalidade terroir onde elaborado valle central aposte harmonização carnes vermelhas queijos massas molho vermelho surpreenda,cabernet sauvignon,chile,valle central,tinto,finca patagonia,12.5,16.0,intenso notas creme cassis frutas vermelhas café baunilha,intenso brilhante,textura elegante taninos firmes acidez agradável notas frutas doces,fondue carne pizza calabresa espaguete almôndegas tábua queijos
Duc d’Henry Blanc de Blancs Brut,54.9,refrescante frutado borbulhas delicadas duc d henry espumante branco deve conquistar lugar especial adega apresentando aromas expressivos damasco pêssego pedida ideal refrescar dias quentes acompanhar pratos base frutos mar carnes brancas,várias uvas,frança,multirregional,espumante branco,veuve ambal,11.5,8.0,notas expressivas damasco pêssego,brilhante,refrescante frutado borbulhas delicadas,frutos mar carnes brancas queijos leves
António Maçanita FitaPreta Alentejano 2018,159.9,fitapreta vinícola eleita melhor produtor ano revista vinhos traz tipicidade alentejo meio deste vinho intenso uvas colhidas mão fermentação acontece forma espontânea finalizada bebida passa meses carvalho francês outros envelhecem cubas inox preservando caráter fruta tudo resulta rótulo coroado pontos crítica viagem portugal direto taça,aragonez trincadeira alicante bouschet,portugal,alentejo,tinto,antónio maçanita,14.5,15.0,frutas pretas frescas notas erva seca toffee,vermelho púrpura,encorpado taninos firmes redondos rico final boca elegante,churrasco cozido português polenta molho agrião
Rosa Reale Negroamaro Rosato 2020,69.9,assinado consagrada vinícola angelo rocca figli srl versão rosé linha reale apresenta verdadeira explosão aromas sabores produzido tradicional uva negroamaro rótulo destaque notas intensas frutas vermelhas especiarias,negroamaro,itália,puglia,rosé,angelo rocca & figli srl,12.5,10.0,notas intensas frutas vermelhas toques sutis especiarias,intenso,saboroso notas intensas frutos silvestres maçã agradável acidez,saladas risotos frutos mar
Château Fontarabie Blaye Côtes de Bordeaux AOC 2019,69.9,adquirida família faure propriedade château fontarabie localizada denominação blaye côtes bordeaux conhecida originar vinhos possuem excelente relação qualidade região escolhida vinícola vignobles alain faure produzir château fontarabie blaye côtes bordeaux elaborado uvas merlot cabernet sauvignon exemplar apresenta equilíbrio perfeito taninos corpo fruta riqueza aromática mostrando opção ideal acompanhar polpetone recheado,merlot cabernet sauvignon,frança,bordeaux,tinto,vignobles alain faure,14.0,17.0,rico notas agradáveis frutas vermelhas nuances madeira,brilhante,redondo elegante versátil taninos equilibrados,lasanha bolonhesa polpetone recheado queijos maduros
Nevado El Plomo Sacred Moutain Single Vineyard Tinto ,29.9,união equipe diversificada apaixonada vinificação clima chile pode proporcionar resultou tinto elegante equilibrado aromático procura vinho pode acompanhar qualquer situação harmonização carnes pizzas tábua queijo leitura dia encontro amigos aqui pedida certa,cabernet sauvignon merlot,chile,valle central,tinto,boddegas y viñedos de aguirre,12.5,15.0,frutas maduras groselha cerejas pretas,intenso,elegante bom equilíbrio taninos macios maduros,carnes vermelhas pratos ervas queijos maduros
